1

108
372 278
334 302
318 323
324 363
359 383
383 365
355 347
354 322
399 303
415 336
422 372
380 405
395 435
449 448
481 427
478 381
461 340
512 338
517 376
513 424
540 432
566 424
577 394
548 349
530 305
558 261
563 228
470 241
492 270
481 298
437 309
431 267
431 224
524 177
572 170
579 117
546 56
440 38
397 38
392 49
491 67
517 86
530 118
490 131
466 120
444 104
415 154
398 199
398 249
381 269
365 248
339 194
366 135
347 98
290 69
260 47
228 40
212 51
231 69
274 78
317 113
322 137
311 166
277 190
246 163
212 124
164 111
122 107
119 117
94 138
94 178
92 214
90 246
112 269
132 248
125 211
152 182
189 178
231 196
283 226
324 251
300 263
258 285
202 303
169 311
130 314
95 332
88 377
88 401
119 423
177 436
188 448
194 445
165 398
130 392
134 355
190 336
227 337
266 345
277 402
293 422
314 396
282 349
287 336
290 310
313 292
334 273
351 261
